DrugBank ID,Common name,Synonyms,cmpdname,canonicalsmiles,cid
DB00997,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside | (8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione | 14-hydroxydaunomycin | 14-hydroxydaunorubicine | Doxorubicin | Doxorubicin nanoparticles | Doxorubicina | Doxorubicine | Doxorubicinum | Hydroxydaunorubicin | MTC-DOX | MTC-DOX for Injection",Doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,31703.0
DB00755,Tretinoin,"(all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid | 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL) | Acide retinoique | all trans Retinoic acid | all trans-Retinoic acid | all-(E)-Retinoic acid | all-trans-beta-Retinoic acid | all-trans-Retinoic acid | all-trans-Tretinoin | all-trans-Vitamin A acid | all-trans-Vitamin A1 acid | ATRA | beta-Retinoic acid | Retinoic acid | Retionic acid | trans-Retinoic acid | Tretin M | Tretinoin | Tretinoina | Trétinoïne | Tretinoinum | Vitamin A acid",Tretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,444795.0
DB00947,Fulvestrant,"(7α,17β)-7-{9-[(4,4,5,5,5-pentafluoropentyl)sulfinyl]nonyl}estra-1(10),2,4-triene-3,17-diol | Fulvestrant",Fulvestrant,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,104741.0
DB00530,Erlotinib,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine | Erlotinib",Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,176870.0
DB00877,Sirolimus,(-)-Rapamycin | Rapamycin | Sirolimús | Sirolimus | Sirolimusum,Sirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,5284616.0
DB00853,Temozolomide,"(S)-perillyl alcohol temozolomide | 3-methyl-4-oxo-3,4-dihydroimidazo(5,1-d)(1,2,3,5)tetrazine-8-carboxamide | 3,4-dihydro-3-methyl-4-oxoimidazo(5,1-d)-1,2,3,5-tetrazine-8-carboxamide | 3,4-dihydro-3-methyl-4-oxoimidazo(5,1-d)-as-tetrazine-8-carboxamide | 8-carbamoyl-3-methylimidazo(5,1-d)-1,2,3,5-tetrazin-4(3H)-one | Methazolastone | Temozolodida | Temozolomid | Temozolomida | Temozolomide | Témozolomide | Temozolomidum | TMZ",Temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,5394.0
DB01128,Bicalutamide,Bicalutamida | Bicalutamide | Bicalutamidum,Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2375.0
DB01259,Lapatinib,Lapatinib | N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl)-4-quinazolinamine,Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,208908.0
DB00317,Gefitinib,4-(3'-chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline | Gefitinib | N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamine,Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,123631.0
DB00188,Bortezomib,[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid | Bortezomib | N-[(1R)-1-(DIHYDROXYBORYL)-3-methylbutyl]-N-(pyrazin-2-ylcarbonyl)-L-phenylalaninamide,Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,387447.0
DB06589,Pazopanib,Pazopanib | Pazopanibum,Pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,10113978.0
DB02546,Vorinostat,Octanedioic acid hydroxyamide phenylamide | SAHA | SHH | Suberanilohydroxamic acid | Suberoylanilide hydroxamic acid | Vorinostat | Vorinostatum,Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,5311.0
DB00531,Cyclophosphamide,"(+-)-Cyclophosphamide | (±)-2-(BIS(2-CHLOROETHYL)AMINO)TETRAHYDRO-2H-1,3,2-OXAZAPHOSPHORINE 2-OXIDE MONOHYDRATE | (RS)-Cyclophosphamide | 2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide | Anhydrous cyclophosphamide | Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester | Ciclofosfamida | Ciclofosfamide | Cyclophosphamid | Cyclophosphamide | Cyclophosphamide anhydrous | Cyclophosphamidum | Cytophosphane | N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide",Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,2907.0
DB01268,Sunitinib,Sunitinib | Sunitinibum,Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,5329102.0
DB00445,Epirubicin,"(1S,3S)-3-GLYCOLOYL-1,2,3,4,6,11-HEXAHYDRO-3,5,12-TRIHYDROXY-10-METHOXY-6,11-DIOXO-1-NAPHTHACENYL 3-AMINO-2,3,6-TRIDEOXY-.ALPHA.-L-ARABINO-HEXOPYRANOSIDE | 4'-EPI-ADRIAMYCIN | 4'-Epiadriamycin | 5,12-NAPHTHACENEDIONE, 10-((3-AMINO-2,3,6-TRIDEOXY-.ALPHA.-L-ARABINO-HEXOPYRANOSYL)OXY)-7,8,9,10-TETRAHYDRO-6,8,11-TRIHYDROXY-8-(HYDROXYACETYL)-1-METHOXY-, (8S-CIS)- | Epiadriamycin | Epirubicin | epirubicin-conjugated polymer micelles | Epirubicina | Epirubicine | Epirubicinum | Pidorubicina | Pidorubicine | Pidorubicinum",Epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,41867.0
,,,cis-Diaminedichloroplatinum,[NH2-].[NH2-].Cl[Pt+2]Cl,2767.0
DB08828,Vismodegib,"2-chloro-N-(4-chloro-3-pyridin-2-yl)phenyl)-4-(methylsulfonyl)benzamide | Benzamide, 2-chloro-N-(4-chloro-3-(2-pyridinyl)phenyl)-4-(methylsulfonyl)- | Vismodegib | Vismodégib | Vismodegibum",Vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,24776445.0
DB00619,Imatinib,Imatinib | Imatinibum | α-(4-methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide,Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,5291.0
DB02097,Cytidine,1-beta-D-Ribofuranosylcytosine | 1β-D-ribofuranosylcytosine | 4-amino-1-β-D-ribofuranosylpyrimidin-2(1H)-one | 4-amino-1β-D-ribofuranosyl-2(1H)-pyrimidinone | Citidina | Cytidin | Cytosine riboside | Zytidin,Cytidine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6175.0
DB00307,Bexarotene,"4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid | 4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid | Bexaroten | Bexarotène | Bexarotene | Bexaroteno | Bexarotenum | p-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid",Bexarotene,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,82146.0
DB01254,Dasatinib,"Anh. dasatinib | Anhydrous dasatinib | BMS dasatinib | Dasatinib | Dasatinib (anh.) | dasatinib (anhydrous) | Dasatinib anhydrous | Dasatinibum | N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide",Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,3062316.0
DB04868,Nilotinib,Nilotinib | Nilotinibum,Nilotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,644241.0
DB06616,Bosutinib,"4-((2,4-dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-3-quinolinecarbonitrile | Bosutinib",Bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,5328940.0
DB06626,Axitinib,Axitinib | Axitinibum | N-methyl-2-[[3-[(E)-2-pyridin-2-ylethenyl]-1H-indazol-6-yl]sulfanyl]benzamide,Axitinib,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,6450551.0
DB04690,Camptothecin,"(+)-camptothecin | (+)-camptothecine | (S)-(+)-camptothecin | 20(S)-camptothecine | 21,22-Secocamptothecin-21-oic acid lactone | Camptothecine | D-camptothecin",Camptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,24360.0
DB08865,Crizotinib,(R)-crizotinib | Crizotinib | Crizotinibum,Crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,11626560.0
DB08875,Cabozantinib,Cabozantinib,Cabozantinib,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,25102847.0
DB08901,Ponatinib,Ponatinib | Ponatinibum,Ponatinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,24826799.0
DB08911,Trametinib,Tramétinib | Trametinib | Trametinibum,Trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,11707110.0
DB09054,Idelalisib,5-Fluoro-3-phenyl-2-((S)-1-(9H-purin-6-ylamino)-propyl)-3H-quinazolin-4-one | 5-fluoro-3-phenyl-2-[(1S)-1-(3H-purin-6-ylamino)propyl]quinazolin-4(3H)-one | Idelalisib,Idelalisib,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,11625818.0
DB00480,Lenalidomide,"1-oxo-2-(2,6-dioxopiperidin-3-yl)-4-aminoisoindoline | 3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2,6-dione | Lenalidomida | Lenalidomide",Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,216326.0
DB09074,Olaparib,4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one | Olaparib,Olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,23725625.0
DB08912,Dabrafenib,Dabrafenib,Dabrafenib,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,44462760.0
DB08916,Afatinib,Afatinib | Afatinibum,Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,10184653.0
DB04297,Trichostatin A,TSA,trichostatin A,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,444732.0
DB06603,Panobinostat,"(2E)-N-hydroxy-3-[4-({[2-(2-methyl-1H-indol-3-yl)ethyl]amino}methyl)phenyl]acrylamide | 2-PROPENAMIDE, N-HYDROXY-3-(4-(((2-(2-METHYL-1H-INDOL-3-YL)ETHYL)AMINO)METHYL)PHENYL)-, (2E)- | hydroxypropyl-B-cyclodextrin-panobinostat complex | Panobinostat | Panobinostatum",Panobinostat,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,6918837.0
DB09073,Palbociclib,"6-acetyl-8-cyclopentyl-5-methyl-2-{[5-(piperazin-1-yl)pyridin-2-yl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one | Palbociclib",Palbociclib,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,5330286.0
DB11800,Tivozanib,Tivozanib,Tivozanib,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,9911830.0
DB08877,Ruxolitinib,Ruxolitinib,Ruxolitinib,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,25126798.0
DB00642,Pemetrexed,Pemetrexed,Pemetrexed,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,135410875.0
DB11363,Alectinib,"9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile | Alectinib",Alectinib,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,49806720.0
DB12500,Fedratinib,Fedratinib,Fedratinib,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,16722836.0
DB11793,Niraparib,Niraparib,Niraparib,C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,24958200.0
DB00914,Phenformin,Fenformin | Fenformina | Phenformin | Phenformine | Phenforminum | β-Phenethybiguanide,Phenformin,C1=CC=C(C=C1)CCN=C(N)N=C(N)N,8249.0
DB11760,Talazoparib,Talazoparib,Talazoparib,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,135565082.0
,,,"Oxalato(trans-l-1,2-cyclohexanediamine)platinum(II)",C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],9887053.0
DB05015,Belinostat,"(2E)-N-HYDROXY-3-(3-(PHENYLSULFAMOYL)PHENYL)PROP-2-ENAMIDE | 2-PROPENAMIDE, N-HYDROXY-3-(3-((PHENYLAMINO)SULFONYL)PHENYL)- | 2-PROPENAMIDE, N-HYDROXY-3-(3-((PHENYLAMINO)SULFONYL)PHENYL)-, (2E)- | Belinostat | N-HYDROXY-3-(3-((PHENYLAMINO)SULFONYL)PHENYL)-2-PROPENAMIDE | N-Hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide",Belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,6918638.0
DB04960,Tipifarnib,Tipifarnib | Zarnestra,Tipifarnib,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,159324.0
DB11689,Selumetinib,Selumetinib | Sélumétinib | Selumetinibum,Selumetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,10127622.0
DB09079,Nintedanib,"methyl (3Z)-3-[(4-{methyl[(4-methylpiperazin-1-yl)acetyl]amino}anilino)(phenyl)methylidene]-2-oxo-2,3-dihydro-1H-indole-6-carboxylate | Nintedanib",Nintedanib,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,135423438.0
DB12874,Quizartinib,"N-(5-(1,1-Dimethylethyl)isoxazol-3-yl)-N'-(4-(7-(2-(morpholin-4-yl)ethoxy)imidazo(2,1-b)benzothiazol-2-yl)phenyl)urea | Quizartinib | Quizartinibum",Quizartinib,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,24889392.0
,,,7-Ethyl-10-hydroxycamptothecin,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)O,104842.0
DB06595,Midostaurin,4'-N-benzoylstaurosporine | Midostaurin,Midostaurin,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,9829523.0
DB12332,Rucaparib,Rucaparib,Rucaparib,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,9931954.0
DB11740,Adavosertib,,Adavosertib,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,24856436.0
,,,"(1aR,7aS,10aS,10bS)-1a,5-dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one",CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,6473881.0
DB11963,Dacomitinib,Dacomitinib | Dacomitinib anhydrous | Dacomitinibum,Dacomitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4,11511120.0
DB12015,Alpelisib,Alpelisib,Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,56649450.0
DB11841,Entinostat,Entinostat | Entinostatum | N-(2-aminophenyl)-4-(N-(pyridin-3-ylmethoxycarbonyl)aminomethyl)benzamide | N-[[4-[(2-aminoanilino)-oxomethyl]phenyl]methyl]carbamic acid 3-pyridinylmethyl ester,Entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,4261.0
DB11526,Masitinib,"4-((4-METHYLPIPERAZIN-1-YL)METHYL)-N-(4-METHYL-3-((4-PYRIDIN-3-YL-1,3-THIAZOL-2-YL)AMINO)PHENYL)BENZAMIDE | Masitinib",Masitinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,10074640.0
DB03496,Alvocidib,Alvocidib | Alvocidib freebase | Flavopiridol,Alvocidib,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,5287969.0
DB12340,Navitoclax,"(R)-4-(3-Morpholin-4-Yl-1-Phenylsulfanylmethyl-Propylamino)-N-(4-{4-[2-(4-Chlorophenyl)-5,5-Dimethylcyclohex-1-Enylmethyl]-Piperazin-1-Yl}-Benzoyl)-3-Trifluoromethanesulfonylbenzenesulfonamide | Navitoclax",Navitoclax,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,24978538.0
DB05470,VX-702,,VX-702,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,10341154.0
DB11759,Pevonedistat,Pevonedistat,Pevonedistat,C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N,16720766.0
